State,X,Y
Jammu and Kashmir,360,90
Himachal Pradesh,360,160
Punjab,300,170
Uttarakhand,410,190
Haryana,330,220
Delhi,350,230
Rajasthan,250,330
Uttar Pradesh,430,280
Bihar,520,300
Gujarat,210,380
Madhya Pradesh,360,390
Chhattisgarh,470,420
Jharkhand,520,360
West Bengal,600,350
Sikkim,560,250
Assam,650,260
Meghalaya,640,290
Nagaland,720,260
Manipur,710,300
Mizoram,690,340
Tripura,650,330
Maharashtra,330,490
Goa,270,520
Karnataka,330,580
Telangana,420,500
Andhra Pradesh,470,560
Odisha,520,470
Tamil Nadu,360,670
Kerala,300,660
